Timestamp,gpu0r0,gpu0w0,gpu0r1,gpu0w1,gpu0r2,gpu0w2,gpu0r3,gpu0w3,gpu0r4,gpu0w4,gpu0r5,gpu0w5,gpu0r6,gpu0w6,gpu0r7,gpu0w7,gpu1r0,gpu1w0,gpu1r1,gpu1w1,gpu1r2,gpu1w2,gpu1r3,gpu1w3,gpu1r4,gpu1w4,gpu1r5,gpu1w5,gpu1r6,gpu1w6,gpu1r7,gpu1w7,gpu2r0,gpu2w0,gpu2r1,gpu2w1,gpu2r2,gpu2w2,gpu2r3,gpu2w3,gpu2r4,gpu2w4,gpu2r5,gpu2w5,gpu2r6,gpu2w6,gpu2r7,gpu2w7,gpu3r0,gpu3w0,gpu3r1,gpu3w1,gpu3r2,gpu3w2,gpu3r3,gpu3w3,gpu3r4,gpu3w4,gpu3r5,gpu3w5,gpu3r6,gpu3w6,gpu3r7,gpu3w7,gpu4r0,gpu4w0,gpu4r1,gpu4w1,gpu4r2,gpu4w2,gpu4r3,gpu4w3,gpu4r4,gpu4w4,gpu4r5,gpu4w5,gpu4r6,gpu4w6,gpu4r7,gpu4w7,gpu5r0,gpu5w0,gpu5r1,gpu5w1,gpu5r2,gpu5w2,gpu5r3,gpu5w3,gpu5r4,gpu5w4,gpu5r5,gpu5w5,gpu5r6,gpu5w6,gpu5r7,gpu5w7,gpu6r0,gpu6w0,gpu6r1,gpu6w1,gpu6r2,gpu6w2,gpu6r3,gpu6w3,gpu6r4,gpu6w4,gpu6r5,gpu6w5,gpu6r6,gpu6w6,gpu6r7,gpu6w7,gpu7r0,gpu7w0,gpu7r1,gpu7w1,gpu7r2,gpu7w2,gpu7r3,gpu7w3,gpu7r4,gpu7w4,gpu7r5,gpu7w5,gpu7r6,gpu7w6,gpu7r7,gpu7w7
1743557322,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557323,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557325,N/A,N/A,685434625,695070761,1,1,744053214,748552463,1,1,180580069,183590423,1,1,1214623938,1217822423",0,0,N/A,N/A,1,1,745151885,749502959,2,1,1,1,178418235,179298702,1217518965,1214435715",0,0,691876504,691618924,N/A,N/A,2,1,1,1,1210508028,1207460632,183590423,180589953,739760743,744355816",0,0,695401765,693281354,1,1,N/A,N/A,1,1,179361182,178418347,1207534633,1210581339,745807703,747398145",0,0,180987254,184024811,0,1,748669610,744115324,N/A,N/A,0,1,701270508,702552743,1207375565,1214107052",0,0,177072849,176242390,0,1,759194708,747377053,0,1,N/A,N/A,0,1,1212098175,1210011502",0,0,184024810,180987253,0,1,0,1,0,1,692091786,693987610,N/A,N/A,748703210,741041055",0,0,172420346,175004226,0,1,0,1,0,1,1209148008,1205540963,697963583,699621676,N/A,N/A"
1743557326,N/A,N/A,687065486,696769369,1,1,746025386,750516559,1,1,181019191,184044766,1,1,1217707236,1220846385",0,0,N/A,N/A,1,1,747049111,751498316,2,1,1,1,178859203,179733618,1220542927,1217519013",0,0,693678955,693422652,N/A,N/A,2,1,1,1,1213515589,1210535365,184044765,181020896,741568153,746340285",0,0,697084702,694933807,1,1,N/A,N/A,1,1,179771490,178848211,1210543942,1213521814,747646967,749234478",0,0,181408467,184448223,0,1,750617041,746028402,N/A,N/A,0,1,702889670,704162388,1210242927,1216962186",0,0,177508360,176648899,0,1,761539671,749351239,0,1,N/A,N/A,0,1,1215033368,1212933797",0,0,184449033,181410251,0,1,0,1,0,1,693736352,695649089,N/A,N/A,751023363,742971372",0,0,172770759,175407100,0,1,0,1,0,1,1212001940,1208338169,699525875,701201279,N/A,N/A"
1743557328,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
1743557329,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
1743557331,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
1743557332,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
1743557334,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
1743557335,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
1743557336,N/A,N/A,687077197,696782688,1,1,746061486,750559221,1,1,181023348,184047040,1,1,1217734953,1220867600",0,0,N/A,N/A,1,1,747087419,751532175,2,1,1,1,178862355,179736551,1220564142,1217546730",0,0,693698926,693441076,N/A,N/A,2,1,1,1,1213536909,1210562573,184047039,181023347,741609312,746381256",0,0,697091329,694940470,1,1,N/A,N/A,1,1,179772537,178850514,1210562573,1213536909,747666790,749256561",0,0,181410911,184450485,0,1,750643665,746050637,N/A,N/A,0,1,702894213,704167399,1210254375,1216972506",0,0,177509529,176649426,0,1,761559780,749373566,0,1,N/A,N/A,0,1,1215039368,1212940146",0,0,184450484,181410910,0,1,0,1,0,1,693739397,695652095,N/A,N/A,751046909,742995101",0,0,172771287,175408269,0,1,0,1,0,1,1212007962,1208340715,699527458,701201989,N/A,N/A"
